Player;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;G+A-PK;clubs;DomesticTitles;EuropeanTitles;NationalTeamWin;TeamTitles;GoalsPer90;xGPer90;xAPer90;xGContribution;FairPlayScore
Ederson;br BRA;GK;31;0.0;24;2140.0;23.8;0.0;4.0;4.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.5;1.5;0.0;2.0;0.0;0.17;Manchester City;0.0;0.0;0.0;0.0;0.0;0.0;0.0630841121495327;0.0630841121495327;7.0
Mateo Kovačić;hr CRO;MF;31;0.0;24;2132.0;23.7;6.0;1.0;7.0;6.0;0.0;0.0;5.0;0.0;1.9;1.9;3.6;5.4;54.0;156.0;15.0;0.3;Manchester City;0.0;0.0;0.0;0.0;0.25328330206378985;0.08020637898686678;0.1519699812382739;0.2321763602251407;5.0
Rúben Dias;pt POR;DF;28;0.0;23;2091.0;23.2;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.5;1.5;0.3;1.8;38.0;143.0;8.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.06456241032998565;0.012912482065997129;0.07747489239598278;6.0
İlkay Gündoğan;de GER;MF;34;0.0;23;2050.0;22.8;0.0;5.0;5.0;0.0;0.0;0.0;1.0;0.0;2.7;2.7;2.8;5.5;57.0;115.0;86.0;0.22;Manchester City;0.0;0.0;0.0;0.0;0.0;0.11853658536585367;0.12292682926829267;0.24146341463414633;9.0
Rico Lewis;eng ENG;DF,MF;20;0.0;21;1893.0;21.0;1.0;2.0;3.0;1.0;0.0;0.0;5.0;1.0;1.4;1.4;0.3;1.7;39.0;107.0;78.0;0.14;Manchester City;0.0;0.0;0.0;0.0;0.04754358161648177;0.06656101426307448;0.014263074484944531;0.08082408874801901;2.0
Manuel Akanji;ch SUI;DF;29;0.0;21;1834.0;20.4;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.1;1.1;0.4;1.5;41.0;150.0;6.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.05398037077426391;0.01962922573609597;0.07360959651035988;7.0
Sávio;br BRA;FW,MF;21;0.0;21;1749.0;19.4;1.0;8.0;9.0;1.0;0.0;0.0;3.0;0.0;5.0;5.0;6.9;11.9;135.0;66.0;244.0;0.46;Manchester City;0.0;0.0;0.0;0.0;0.051457975986277875;0.25728987993138935;0.35506003430531735;0.6123499142367067;7.0
Phil Foden;eng ENG;MF,FW;24;0.0;20;1768.0;19.6;7.0;2.0;9.0;7.0;0.0;0.0;2.0;0.0;5.2;5.2;4.8;9.9;50.0;103.0;128.0;0.46;Manchester City;1.0;0.0;0.0;1.0;0.35633484162895923;0.2647058823529412;0.2443438914027149;0.5090497737556561;8.0
Kevin De Bruyne;be BEL;MF,FW;33;0.0;18;1628.0;18.1;4.0;7.0;11.0;4.0;0.0;0.0;2.0;0.0;4.2;4.2;7.9;12.1;50.0;153.0;143.0;0.61;Manchester City;0.0;0.0;0.0;0.0;0.22113022113022113;0.2321867321867322;0.4367321867321868;0.668918918918919;8.0
Matheus Nunes;pt POR;DF,MF;26;0.0;17;1494.0;16.6;1.0;5.0;6.0;1.0;0.0;0.0;4.0;0.0;0.9;0.9;4.2;5.1;59.0;69.0;156.0;0.36;Manchester City;0.0;0.0;0.0;0.0;0.06024096385542168;0.05421686746987951;0.25301204819277107;0.3072289156626506;6.0
Jeremy Doku;be BEL;FW,MF;22;0.0;15;1442.0;16.0;3.0;6.0;9.0;3.0;0.0;0.0;1.0;0.0;1.0;1.0;4.7;5.7;201.0;67.0;274.0;0.56;Manchester City;0.0;0.0;0.0;0.0;0.18723994452149792;0.06241331484049931;0.2933425797503468;0.35575589459084606;9.0
Stefan Ortega;de GER;GK;32;0.0;12;1100.0;12.2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0
Omar Marmoush;eg EGY;FW,MF;26;0.0;12;1005.0;11.2;6.0;0.0;6.0;6.0;0.0;0.0;0.0;0.0;4.9;4.9;1.7;6.6;22.0;29.0;68.0;0.54;Manchester City;0.0;0.0;0.0;0.0;0.5373134328358209;0.43880597014925377;0.15223880597014927;0.5910447761194031;10.0
Kyle Walker;eng ENG;DF;34;0.0;9;970.0;10.8;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.1;0.1;0.4;0.6;12.0;64.0;11.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.009278350515463918;0.03711340206185567;0.04639175257731958;7.0
Nathan Aké;nl NED;DF;30;0.0;8;678.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.2;12.0;50.0;2.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.026548672566371685;0.0;0.026548672566371685;10.0
Nicolás González;es ESP;MF;23;0.0;8;648.0;7.2;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.3;0.3;0.1;0.3;5.0;46.0;10.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.041666666666666664;0.01388888888888889;0.05555555555555556;7.0
Jack Grealish;eng ENG;FW,MF;29;0.0;7;720.0;8.0;1.0;1.0;2.0;1.0;0.0;0.0;3.0;0.0;1.1;1.1;1.8;3.0;69.0;52.0;118.0;0.25;Manchester City;0.0;0.0;0.0;0.0;0.125;0.1375;0.225;0.36250000000000004;7.0
John Stones;eng ENG;DF,MF;30;0.0;6;548.0;6.1;2.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;0.4;0.4;0.1;0.5;10.0;21.0;2.0;0.33;Manchester City;0.0;0.0;0.0;0.0;0.3284671532846716;0.06569343065693431;0.016423357664233577;0.0821167883211679;9.0
Nico O’Reilly;eng ENG;DF;20;0.0;6;528.0;5.9;2.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;1.3;1.3;0.4;1.6;16.0;17.0;26.0;0.34;Manchester City;0.0;0.0;0.0;0.0;0.34090909090909094;0.22159090909090912;0.06818181818181819;0.28977272727272735;10.0
Abdukodir Khusanov;uz UZB;DF;21;0.0;6;503.0;5.6;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;0.1;1.0;25.0;2.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.0;0.01789264413518887;0.01789264413518887;9.0
James Mcatee;eng ENG;MF,FW;22;0.0;3;349.0;3.9;3.0;0.0;3.0;3.0;0.0;0.0;1.0;0.0;2.8;2.8;0.5;3.3;7.0;7.0;32.0;0.77;Manchester City;0.0;0.0;0.0;0.0;0.7736389684813754;0.7220630372492837;0.12893982808022922;0.8510028653295129;9.0
Jahmai Simpson-Pusey;eng ENG;DF;19;0.0;1;96.0;1.1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0
Rodri;es ESP;MF;28;0.0;1;65.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;Manchester City;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;10.0
Divin Mubama;eng ENG;FW;20;0.0;0;28.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Oscar Bobb;no NOR;FW;21;0.0;0;15.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;1.0;1.0;1.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.6000000000000001;10.0
Vitor Reis;br BRA;DF;19;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Max Alleyne;eng ENG;DF;19;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Thorsten Brits;eng ENG;GK;17;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Scott Carson;eng ENG;GK;39;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Issa Kaboré;bf BFA;DF,MF;24;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Josh Wilson-Esbrand;eng ENG;DF;22;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Jacob Wright;eng ENG;MF;19;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Bradley Barcola;fr FRA;FW;22;34.0;27;2181.0;24.2;14.0;10.0;24.0;14.0;0.0;0.0;2.0;0.0;13.4;13.4;10.1;23.5;137.0;96.0;374.0;0.99;Paris SG;0.0;0.0;0.0;0.0;0.577716643741403;0.5529573590096286;0.4167812929848693;0.9697386519944979;8.0
Gianluigi Donnarumma;it ITA;GK;26;24.0;24;2091.0;23.2;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0
Achraf Hakimi;ma MAR;DF;26;25.0;24;2066.0;23.0;4.0;6.0;10.0;4.0;0.0;0.0;4.0;0.0;2.9;2.9;6.2;9.1;93.0;183.0;274.0;0.44;Paris SG;0.0;0.0;0.0;0.0;0.17424975798644723;0.12633107454017425;0.2700871248789932;0.39641819941916745;6.0
Willian Pacho;ec ECU;DF;23;28.0;23;2132.0;23.7;0.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.3;0.3;0.3;0.6;3.0;53.0;1.0;0.04;Paris SG;0.0;0.0;0.0;0.0;0.0;0.012664165103189493;0.012664165103189493;0.025328330206378986;8.0
Warren Zaïre-Emery;fr FRA;MF,DF;19;29.0;23;2050.0;22.8;1.0;2.0;3.0;1.0;0.0;0.0;3.0;0.0;1.7;1.7;1.4;3.1;49.0;135.0;92.0;0.13;Paris SG;0.0;0.0;0.0;0.0;0.04390243902439024;0.07463414634146341;0.061463414634146334;0.13609756097560974;7.0
Lucas Beraldo;br BRA;DF;21;25.0;22;2011.0;22.3;1.0;0.0;1.0;1.0;0.0;0.0;6.0;0.0;0.9;0.9;0.4;1.2;9.0;131.0;0.0;0.04;Paris SG;0.0;0.0;0.0;0.0;0.04475385380407757;0.04027846842366982;0.01790154152163103;0.05818000994530085;4.0
João Neves;pt POR;MF,DF;20;29.0;22;1844.0;20.5;3.0;8.0;11.0;3.0;0.0;0.0;1.0;0.0;3.0;3.0;4.0;7.0;35.0;144.0;80.0;0.54;Paris SG;0.0;0.0;0.0;0.0;0.14642082429501085;0.14642082429501085;0.19522776572668116;0.341648590021692;9.0
Fabián Ruiz Peña;es ESP;MF;29;30.0;21;1923.0;21.4;4.0;5.0;9.0;4.0;0.0;0.0;1.0;0.0;4.3;4.3;4.7;9.0;47.0;205.0;92.0;0.42;Paris SG;0.0;0.0;0.0;0.0;0.187207488299532;0.20124804992199688;0.21996879875195008;0.42121684867394693;9.0
Vitinha;pt POR;MF;25;29.0;20;2042.0;22.7;5.0;1.0;6.0;3.0;2.0;2.0;1.0;0.0;3.4;1.8;2.6;4.4;53.0;224.0;57.0;0.18;Paris SG;0.0;0.0;0.0;0.0;0.22037218413320273;0.14985308521057786;0.11459353574926542;0.2644466209598433;9.0
Ousmane Dembélé;fr FRA;FW;28;29.0;20;1730.0;19.2;21.0;6.0;27.0;20.0;1.0;1.0;1.0;0.0;16.6;15.8;8.2;24.0;127.0;137.0;252.0;1.35;Paris SG;0.0;0.0;0.0;0.0;1.092485549132948;0.8635838150289018;0.4265895953757225;1.2901734104046243;9.0
Marquinhos;br BRA;DF;31;22.0;19;1725.0;19.2;2.0;0.0;2.0;2.0;0.0;0.0;3.0;0.0;1.1;1.1;0.8;1.9;29.0;151.0;4.0;0.1;Paris SG;0.0;0.0;0.0;0.0;0.10434782608695652;0.05739130434782609;0.041739130434782605;0.09913043478260869;7.0
Nuno Mendes;pt POR;DF;22;24.0;19;1676.0;18.6;1.0;3.0;4.0;1.0;0.0;0.0;3.0;0.0;2.2;2.2;5.0;7.2;58.0;127.0;108.0;0.21;Paris SG;0.0;0.0;0.0;0.0;0.05369928400954654;0.11813842482100238;0.26849642004773266;0.38663484486873506;7.0
Lee Kang-in;kr KOR;FW,MF;24;30.0;19;1663.0;18.5;6.0;6.0;12.0;6.0;0.0;0.0;1.0;0.0;3.5;3.5;5.6;9.1;50.0;143.0;138.0;0.65;Paris SG;0.0;0.0;0.0;0.0;0.3247143716175586;0.1894167167769092;0.3030667468430547;0.4924834636199639;9.0
Désiré Doué;fr FRA;FW,MF;19;31.0;18;1730.0;19.2;6.0;6.0;12.0;6.0;0.0;0.0;1.0;0.0;5.1;5.1;7.8;13.0;97.0;139.0;232.0;0.62;Paris SG;0.0;0.0;0.0;0.0;0.31213872832369943;0.2653179190751445;0.40578034682080927;0.6710982658959537;9.0
Gonçalo Ramos;pt POR;FW;23;22.0;12;1066.0;11.8;10.0;3.0;13.0;8.0;2.0;3.0;1.0;0.0;13.6;11.3;2.2;13.4;11.0;24.0;63.0;0.93;Paris SG;0.0;0.0;0.0;0.0;0.8442776735459662;1.148217636022514;0.1857410881801126;1.3339587242026267;9.0
Khvicha Kvaratskhelia;ge GEO;FW;24;14.0;11;916.0;10.2;4.0;3.0;7.0;4.0;0.0;0.0;0.0;0.0;3.3;3.3;4.9;8.2;50.0;43.0;131.0;0.69;Paris SG;0.0;0.0;0.0;0.0;0.39301310043668125;0.324235807860262;0.48144104803493454;0.8056768558951964;10.0
Lucas Hernández;fr FRA;DF;29;16.0;10;877.0;9.7;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.1;0.1;6.0;50.0;4.0;0.0;Paris SG;0.0;0.0;0.0;0.0;0.0;0.0;0.010262257696693275;0.010262257696693275;8.0
Matvei Safonov;ru RUS;GK;26;10.0;9;879.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Senny Mayulu;fr FRA;MF;19;20.0;8;808.0;9.0;2.0;2.0;4.0;2.0;0.0;0.0;1.0;0.0;2.9;2.9;2.1;4.9;29.0;46.0;56.0;0.45;Paris SG;0.0;0.0;0.0;0.0;0.22277227722772278;0.32301980198019803;0.23391089108910892;0.556930693069307;9.0
Marco Asensio;es ESP;FW,MF;29;12.0;8;618.0;6.9;2.0;4.0;6.0;2.0;0.0;0.0;0.0;0.0;5.6;5.6;2.7;8.3;19.0;36.0;49.0;0.87;Paris SG;0.0;0.0;0.0;0.0;0.29126213592233013;0.8155339805825242;0.3932038834951457;1.20873786407767;10.0
Milan Škriniar;sk SVK;DF;30;5.0;4;382.0;4.2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.1;0.3;3.0;20.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;0.0;0.04712041884816754;0.02356020942408377;0.07068062827225131;9.0
Ibrahim Mbaye;fr FRA;FW,MF;17;9.0;4;340.0;3.8;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;1.8;1.8;1.1;2.9;15.0;9.0;54.0;0.53;Paris SG;0.0;0.0;0.0;0.0;0.2647058823529412;0.47647058823529415;0.2911764705882353;0.7676470588235296;10.0
Randal Kolo Muani;fr FRA;FW;26;10.0;2;358.0;4.0;2.0;1.0;3.0;1.0;1.0;1.0;0.0;0.0;4.7;3.9;0.9;4.7;8.0;5.0;35.0;0.5;Paris SG;0.0;0.0;0.0;0.0;0.5027932960893855;1.181564245810056;0.22625698324022347;1.4078212290502794;10.0
Yoram Zague;fr FRA;DF,FW;19;4.0;2;183.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.1;0.1;5.0;10.0;17.0;0.0;Paris SG;0.0;0.0;0.0;0.0;0.0;0.049180327868852465;0.049180327868852465;0.09836065573770493;10.0
Axel Tapé;fr FRA;DF,MF;17;2.0;2;180.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.1;1.0;5.0;1.0;0.0;Paris SG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0
Arnau Tenas;es ESP;GK;23;1.0;1;90.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;1.0;0.0;1.0;Paris SG;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;10.0
Noham Kamara;fr FRA;DF;18;2.0;0;76.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;5.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Presnel Kimpembe;fr FRA;DF;29;2.0;0;23.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Naoufel El Hannach;ma MAR;DF;18;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Louis Mouquet;pt POR;GK;20;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Quentin Ndjantou Mbitcha;fr FRA;FW;17;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Wassim Slama;fr FRA;MF;16;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Carlos Soler;es ESP;MF;28;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Joshua Kimmich;de GER;MF;30;0.0;32;2847.0;31.6;3.0;7.0;10.0;3.0;0.0;0.0;4.0;0.0;1.8;1.8;7.4;9.2;51.0;362.0;77.0;0.32;Bayern Munich;0.0;0.0;0.0;0.0;0.09483667017913594;0.05690200210748156;0.2339304531085353;0.2908324552160169;6.0
Harry Kane;eng ENG;FW;31;0.0;28;2381.0;26.5;26.0;9.0;35.0;17.0;9.0;9.0;5.0;0.0;20.3;13.3;5.3;18.6;29.0;97.0;143.0;0.98;Bayern Munich;0.0;0.0;0.0;0.0;0.9827803443931121;0.7673246535069299;0.20033599328013438;0.9676606467870643;5.0
Michael Olise;fr FRA;FW,MF;23;0.0;28;2334.0;25.9;12.0;15.0;27.0;12.0;0.0;0.0;3.0;0.0;9.7;9.7;12.0;21.7;119.0;184.0;381.0;1.04;Bayern Munich;0.0;0.0;0.0;0.0;0.46272493573264784;0.3740359897172236;0.46272493573264784;0.8367609254498715;7.0
Kim Min-jae;kr KOR;DF;28;0.0;27;2283.0;25.4;2.0;0.0;2.0;2.0;0.0;0.0;2.0;0.0;1.6;1.6;0.3;1.9;16.0;181.0;5.0;0.08;Bayern Munich;0.0;0.0;0.0;0.0;0.07884362680683311;0.0630749014454665;0.011826544021024966;0.07490144546649147;8.0
Manuel Neuer;de GER;GK;39;0.0;22;1980.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;10.0;0.0;0.0;Bayern Munich;0.0;0.0;0.0;0.0;0.0;0.0;0.022727272727272728;0.022727272727272728;10.0
Jamal Musiala;de GER;MF;22;0.0;21;1798.0;20.0;12.0;2.0;14.0;12.0;0.0;0.0;3.0;0.0;9.3;9.3;4.5;13.8;71.0;107.0;156.0;0.7;Bayern Munich;0.0;0.0;0.0;0.0;0.6006674082313682;0.4655172413793104;0.22525027808676307;0.6907675194660734;7.0
Dayot Upamecano;fr FRA;DF;26;0.0;20;1759.0;19.5;2.0;0.0;2.0;2.0;0.0;0.0;6.0;0.0;1.2;1.2;0.5;1.7;17.0;137.0;4.0;0.1;Bayern Munich;0.0;0.0;0.0;0.0;0.10233086981239341;0.06139852188743604;0.025582717453098352;0.0869812393405344;4.0
Konrad Laimer;at AUT;DF;27;0.0;19;1699.0;18.9;2.0;2.0;4.0;2.0;0.0;0.0;8.0;0.0;2.1;2.1;2.7;4.8;87.0;141.0;113.0;0.21;Bayern Munich;0.0;0.0;0.0;0.0;0.10594467333725721;0.11124190700412008;0.14302530900529725;0.2542672160094174;2.0
Raphaël Guerreiro;pt POR;DF,MF;31;0.0;19;1572.0;17.5;4.0;4.0;8.0;4.0;0.0;0.0;2.0;0.0;2.9;2.9;2.9;5.8;39.0;85.0;126.0;0.46;Bayern Munich;0.0;0.0;0.0;0.0;0.22900763358778628;0.16603053435114504;0.16603053435114504;0.3320610687022901;8.0
Aleksandar Pavlovic;de GER;MF;21;0.0;18;1451.0;16.1;1.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;0.6;0.6;0.2;0.8;15.0;128.0;33.0;0.06;Bayern Munich;0.0;0.0;0.0;0.0;0.062026188835286;0.0372157133011716;0.012405237767057202;0.04962095106822881;8.0
Leroy Sané;de GER;FW;29;0.0;17;1637.0;18.2;11.0;5.0;16.0;11.0;0.0;0.0;2.0;0.0;10.2;10.2;5.5;15.8;75.0;64.0;266.0;0.88;Bayern Munich;0.0;0.0;0.0;0.0;0.6047648136835675;0.5607819181429443;0.30238240684178375;0.8631643249847281;8.0
