Player;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;G+A-PK;clubs;GoalsPer90;xGPer90;xAPer90;xGContribution;FairPlayScore;Nb_IndividualTitles;IndividualTitlesDetail;TeamTitles_Team;TeamTitlesDetail;ImpactScore;RecordsScore;PopularityScore;Finalist_UCL;BookmakersScore
Erling Haaland;no NOR;FW;24;0.0;29;2570.0;28.6;21.0;3.0;24.0;19.0;2.0;3.0;2.0;0.0;20.9;18.5;2.9;21.4;20.0;18.0;110.0;0.77;Manchester City;0.735408560311284;0.7319066147859922;0.101556420233463;0.8334630350194551;8.0;0;Aucun;;;8.9;5.0;9.7;0.0;4.1
Bernardo Silva;pt POR;MF,FW;30;0.0;27;2491.0;27.7;3.0;4.0;7.0;3.0;0.0;0.0;7.0;0.0;3.6;3.6;4.4;8.0;98.0;122.0;191.0;0.25;Manchester City;0.1083902047370534;0.130068245684464;0.1589723002810116;0.2890405459654757;3.0;0;Aucun;;;8.5;5.0;8.5;0.0;4.8
Ederson;br BRA;GK;31;0.0;24;2140.0;23.8;0.0;4.0;4.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.5;1.5;0.0;2.0;0.0;0.17;Manchester City;0.0;0.0;0.0630841121495327;0.0630841121495327;7.0;0;Aucun;;;;;;;
Mateo Kovačić;hr CRO;MF;31;0.0;24;2132.0;23.7;6.0;1.0;7.0;6.0;0.0;0.0;5.0;0.0;1.9;1.9;3.6;5.4;54.0;156.0;15.0;0.3;Manchester City;0.2532833020637898;0.0802063789868667;0.1519699812382739;0.2321763602251407;5.0;0;Aucun;;;;;;;
Rúben Dias;pt POR;DF;28;0.0;23;2091.0;23.2;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.5;1.5;0.3;1.8;38.0;143.0;8.0;0.0;Manchester City;0.0;0.0645624103299856;0.0129124820659971;0.0774748923959827;6.0;0;Aucun;;;;;;;
İlkay Gündoğan;de GER;MF;34;0.0;23;2050.0;22.8;0.0;5.0;5.0;0.0;0.0;0.0;1.0;0.0;2.7;2.7;2.8;5.5;57.0;115.0;86.0;0.22;Manchester City;0.0;0.1185365853658536;0.1229268292682926;0.2414634146341463;9.0;0;Aucun;;;;;;;
Rico Lewis;eng ENG;DF,MF;20;0.0;21;1893.0;21.0;1.0;2.0;3.0;1.0;0.0;0.0;5.0;1.0;1.4;1.4;0.3;1.7;39.0;107.0;78.0;0.14;Manchester City;0.0475435816164817;0.0665610142630744;0.0142630744849445;0.080824088748019;2.0;0;Aucun;;;;;;;
Manuel Akanji;ch SUI;DF;29;0.0;21;1834.0;20.4;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.1;1.1;0.4;1.5;41.0;150.0;6.0;0.0;Manchester City;0.0;0.0539803707742639;0.0196292257360959;0.0736095965103598;7.0;0;Aucun;;;;;;;
Sávio;br BRA;FW,MF;21;0.0;21;1749.0;19.4;1.0;8.0;9.0;1.0;0.0;0.0;3.0;0.0;5.0;5.0;6.9;11.9;135.0;66.0;244.0;0.46;Manchester City;0.0514579759862778;0.2572898799313893;0.3550600343053173;0.6123499142367067;7.0;0;Aucun;;;;;;;
Phil Foden;eng ENG;MF,FW;24;0.0;20;1768.0;19.6;7.0;2.0;9.0;7.0;0.0;0.0;2.0;0.0;5.2;5.2;4.8;9.9;50.0;103.0;128.0;0.46;Manchester City;0.3563348416289592;0.2647058823529412;0.2443438914027149;0.5090497737556561;8.0;0;Aucun;;;;;;;
Kevin De Bruyne;be BEL;MF,FW;33;0.0;18;1628.0;18.1;4.0;7.0;11.0;4.0;0.0;0.0;2.0;0.0;4.2;4.2;7.9;12.1;50.0;153.0;143.0;0.61;Manchester City;0.2211302211302211;0.2321867321867322;0.4367321867321868;0.668918918918919;8.0;0;Aucun;;;8.4;5.0;8.5;0.0;4.9
Matheus Nunes;pt POR;DF,MF;26;0.0;17;1494.0;16.6;1.0;5.0;6.0;1.0;0.0;0.0;4.0;0.0;0.9;0.9;4.2;5.1;59.0;69.0;156.0;0.36;Manchester City;0.0602409638554216;0.0542168674698795;0.253012048192771;0.3072289156626506;6.0;0;Aucun;;;;;;;
Jeremy Doku;be BEL;FW,MF;22;0.0;15;1442.0;16.0;3.0;6.0;9.0;3.0;0.0;0.0;1.0;0.0;1.0;1.0;4.7;5.7;201.0;67.0;274.0;0.56;Manchester City;0.1872399445214979;0.0624133148404993;0.2933425797503468;0.355755894590846;9.0;0;Aucun;;;;;;;
Stefan Ortega;de GER;GK;32;0.0;12;1100.0;12.2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;9.0;0;Aucun;;;;;;;
Omar Marmoush;eg EGY;FW,MF;26;0.0;12;1005.0;11.2;6.0;0.0;6.0;6.0;0.0;0.0;0.0;0.0;4.9;4.9;1.7;6.6;22.0;29.0;68.0;0.54;Manchester City;0.5373134328358209;0.4388059701492537;0.1522388059701492;0.5910447761194031;10.0;0;Aucun;;;;;;;
Kyle Walker;eng ENG;DF;34;0.0;9;970.0;10.8;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.1;0.1;0.4;0.6;12.0;64.0;11.0;0.0;Manchester City;0.0;0.0092783505154639;0.0371134020618556;0.0463917525773195;7.0;0;Aucun;;;;;;;
Nathan Aké;nl NED;DF;30;0.0;8;678.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.2;12.0;50.0;2.0;0.0;Manchester City;0.0;0.0265486725663716;0.0;0.0265486725663716;10.0;0;Aucun;;;;;;;
Nicolás González;es ESP;MF;23;0.0;8;648.0;7.2;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.3;0.3;0.1;0.3;5.0;46.0;10.0;0.0;Manchester City;0.0;0.0416666666666666;0.0138888888888888;0.0555555555555555;7.0;0;Aucun;;;;;;;
Jack Grealish;eng ENG;FW,MF;29;0.0;7;720.0;8.0;1.0;1.0;2.0;1.0;0.0;0.0;3.0;0.0;1.1;1.1;1.8;3.0;69.0;52.0;118.0;0.25;Manchester City;0.125;0.1375;0.225;0.3625;7.0;0;Aucun;;;;;;;
John Stones;eng ENG;DF,MF;30;0.0;6;548.0;6.1;2.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;0.4;0.4;0.1;0.5;10.0;21.0;2.0;0.33;Manchester City;0.3284671532846716;0.0656934306569343;0.0164233576642335;0.0821167883211679;9.0;0;Aucun;;;;;;;
Nico O’Reilly;eng ENG;DF;20;0.0;6;528.0;5.9;2.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;1.3;1.3;0.4;1.6;16.0;17.0;26.0;0.34;Manchester City;0.3409090909090909;0.2215909090909091;0.0681818181818181;0.2897727272727273;10.0;0;Aucun;;;;;;;
Abdukodir Khusanov;uz UZB;DF;21;0.0;6;503.0;5.6;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;0.1;1.0;25.0;2.0;0.0;Manchester City;0.0;0.0;0.0178926441351888;0.0178926441351888;9.0;0;Aucun;;;;;;;
James Mcatee;eng ENG;MF,FW;22;0.0;3;349.0;3.9;3.0;0.0;3.0;3.0;0.0;0.0;1.0;0.0;2.8;2.8;0.5;3.3;7.0;7.0;32.0;0.77;Manchester City;0.7736389684813754;0.7220630372492837;0.1289398280802292;0.8510028653295129;9.0;0;Aucun;;;;;;;
Jahmai Simpson-Pusey;eng ENG;DF;19;0.0;1;96.0;1.1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;9.0;0;Aucun;;;;;;;
Rodri;es ESP;MF;28;0.0;1;65.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;Manchester City;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Divin Mubama;eng ENG;FW;20;0.0;0;28.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Oscar Bobb;no NOR;FW;21;0.0;0;15.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;1.0;1.0;1.0;0.0;Manchester City;0.0;0.0;0.6000000000000001;0.6000000000000001;10.0;0;Aucun;;;;;;;
Vitor Reis;br BRA;DF;19;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Max Alleyne;eng ENG;DF;19;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Thorsten Brits;eng ENG;GK;17;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Scott Carson;eng ENG;GK;39;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Issa Kaboré;bf BFA;DF,MF;24;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Josh Wilson-Esbrand;eng ENG;DF;22;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Jacob Wright;eng ENG;MF;19;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Manchester City;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Bradley Barcola;fr FRA;FW;22;34.0;27;2181.0;24.2;14.0;10.0;24.0;14.0;0.0;0.0;2.0;0.0;13.4;13.4;10.1;23.5;137.0;96.0;374.0;0.99;Paris SG;0.577716643741403;0.5529573590096286;0.4167812929848693;0.969738651994498;8.0;0;Aucun;;;;;;;
Gianluigi Donnarumma;it ITA;GK;26;24.0;24;2091.0;23.2;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;8.0;0;Aucun;;;8.5;4.0;8.3;1.0;4.6
Achraf Hakimi;ma MAR;DF;26;25.0;24;2066.0;23.0;4.0;6.0;10.0;4.0;0.0;0.0;4.0;0.0;2.9;2.9;6.2;9.1;93.0;183.0;274.0;0.44;Paris SG;0.1742497579864472;0.1263310745401742;0.2700871248789932;0.3964181994191674;6.0;0;Aucun;1.0;Ligue 1 2024/25;8.2;6.0;9.0;1.0;4.4
Willian Pacho;ec ECU;DF;23;28.0;23;2132.0;23.7;0.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.3;0.3;0.3;0.6;3.0;53.0;1.0;0.04;Paris SG;0.0;0.0126641651031894;0.0126641651031894;0.0253283302063789;8.0;0;Aucun;;;;;;;
Warren Zaïre-Emery;fr FRA;MF,DF;19;29.0;23;2050.0;22.8;1.0;2.0;3.0;1.0;0.0;0.0;3.0;0.0;1.7;1.7;1.4;3.1;49.0;135.0;92.0;0.13;Paris SG;0.0439024390243902;0.0746341463414634;0.0614634146341463;0.1360975609756097;7.0;0;Aucun;;;;;;;
Lucas Beraldo;br BRA;DF;21;25.0;22;2011.0;22.3;1.0;0.0;1.0;1.0;0.0;0.0;6.0;0.0;0.9;0.9;0.4;1.2;9.0;131.0;0.0;0.04;Paris SG;0.0447538538040775;0.0402784684236698;0.017901541521631;0.0581800099453008;4.0;0;Aucun;;;;;;;
João Neves;pt POR;MF,DF;20;29.0;22;1844.0;20.5;3.0;8.0;11.0;3.0;0.0;0.0;1.0;0.0;3.0;3.0;4.0;7.0;35.0;144.0;80.0;0.54;Paris SG;0.1464208242950108;0.1464208242950108;0.1952277657266811;0.341648590021692;9.0;0;Aucun;;;;;;;
Fabián Ruiz Peña;es ESP;MF;29;30.0;21;1923.0;21.4;4.0;5.0;9.0;4.0;0.0;0.0;1.0;0.0;4.3;4.3;4.7;9.0;47.0;205.0;92.0;0.42;Paris SG;0.187207488299532;0.2012480499219968;0.21996879875195;0.4212168486739469;9.0;0;Aucun;;;;;;;
Vitinha;pt POR;MF;25;29.0;20;2042.0;22.7;5.0;1.0;6.0;3.0;2.0;2.0;1.0;0.0;3.4;1.8;2.6;4.4;53.0;224.0;57.0;0.18;Paris SG;0.2203721841332027;0.1498530852105778;0.1145935357492654;0.2644466209598433;9.0;0;Aucun;;;;;;;
Ousmane Dembélé;fr FRA;FW;28;29.0;20;1730.0;19.2;21.0;6.0;27.0;20.0;1.0;1.0;1.0;0.0;16.6;15.8;8.2;24.0;127.0;137.0;252.0;1.35;Paris SG;1.092485549132948;0.8635838150289018;0.4265895953757225;1.2901734104046243;9.0;4;Joueur de l'ann�e de Ligue 1 (UNFP), Meilleur buteur de Ligue 1, �quipe type de Ligue 1 (UNFP), Homme du match � Troph�e des Champions 2024;;;9.3;6.0;8.7;1.0;2.3
Marquinhos;br BRA;DF;31;22.0;19;1725.0;19.2;2.0;0.0;2.0;2.0;0.0;0.0;3.0;0.0;1.1;1.1;0.8;1.9;29.0;151.0;4.0;0.1;Paris SG;0.1043478260869565;0.057391304347826;0.0417391304347826;0.0991304347826086;7.0;0;Aucun;;;;;;;
Nuno Mendes;pt POR;DF;22;24.0;19;1676.0;18.6;1.0;3.0;4.0;1.0;0.0;0.0;3.0;0.0;2.2;2.2;5.0;7.2;58.0;127.0;108.0;0.21;Paris SG;0.0536992840095465;0.1181384248210023;0.2684964200477326;0.386634844868735;7.0;0;Aucun;;;;;;;
Lee Kang-in;kr KOR;FW,MF;24;30.0;19;1663.0;18.5;6.0;6.0;12.0;6.0;0.0;0.0;1.0;0.0;3.5;3.5;5.6;9.1;50.0;143.0;138.0;0.65;Paris SG;0.3247143716175586;0.1894167167769092;0.3030667468430547;0.4924834636199639;9.0;0;Aucun;;;;;;;
Désiré Doué;fr FRA;FW,MF;19;31.0;18;1730.0;19.2;6.0;6.0;12.0;6.0;0.0;0.0;1.0;0.0;5.1;5.1;7.8;13.0;97.0;139.0;232.0;0.62;Paris SG;0.3121387283236994;0.2653179190751445;0.4057803468208092;0.6710982658959537;9.0;0;Aucun;;;;;;;
Gonçalo Ramos;pt POR;FW;23;22.0;12;1066.0;11.8;10.0;3.0;13.0;8.0;2.0;3.0;1.0;0.0;13.6;11.3;2.2;13.4;11.0;24.0;63.0;0.93;Paris SG;0.8442776735459662;1.148217636022514;0.1857410881801126;1.3339587242026267;9.0;0;Aucun;;;;;;;
Khvicha Kvaratskhelia;ge GEO;FW;24;14.0;11;916.0;10.2;4.0;3.0;7.0;4.0;0.0;0.0;0.0;0.0;3.3;3.3;4.9;8.2;50.0;43.0;131.0;0.69;Paris SG;0.3930131004366812;0.324235807860262;0.4814410480349345;0.8056768558951964;10.0;0;Aucun;;;;;;;
Lucas Hernández;fr FRA;DF;29;16.0;10;877.0;9.7;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.1;0.1;6.0;50.0;4.0;0.0;Paris SG;0.0;0.0;0.0102622576966932;0.0102622576966932;8.0;0;Aucun;;;;;;;
Matvei Safonov;ru RUS;GK;26;10.0;9;879.0;9.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Senny Mayulu;fr FRA;MF;19;20.0;8;808.0;9.0;2.0;2.0;4.0;2.0;0.0;0.0;1.0;0.0;2.9;2.9;2.1;4.9;29.0;46.0;56.0;0.45;Paris SG;0.2227722772277227;0.323019801980198;0.2339108910891089;0.556930693069307;9.0;0;Aucun;;;;;;;
Marco Asensio;es ESP;FW,MF;29;12.0;8;618.0;6.9;2.0;4.0;6.0;2.0;0.0;0.0;0.0;0.0;5.6;5.6;2.7;8.3;19.0;36.0;49.0;0.87;Paris SG;0.2912621359223301;0.8155339805825242;0.3932038834951457;1.20873786407767;10.0;0;Aucun;;;;;;;
Milan Škriniar;sk SVK;DF;30;5.0;4;382.0;4.2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.1;0.3;3.0;20.0;0.0;0.0;Paris SG;0.0;0.0471204188481675;0.0235602094240837;0.0706806282722513;9.0;0;Aucun;;;;;;;
Ibrahim Mbaye;fr FRA;FW,MF;17;9.0;4;340.0;3.8;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;1.8;1.8;1.1;2.9;15.0;9.0;54.0;0.53;Paris SG;0.2647058823529412;0.4764705882352941;0.2911764705882353;0.7676470588235296;10.0;0;Aucun;;;;;;;
Randal Kolo Muani;fr FRA;FW;26;10.0;2;358.0;4.0;2.0;1.0;3.0;1.0;1.0;1.0;0.0;0.0;4.7;3.9;0.9;4.7;8.0;5.0;35.0;0.5;Paris SG;0.5027932960893855;1.181564245810056;0.2262569832402234;1.4078212290502794;10.0;0;Aucun;;;;;;;
Yoram Zague;fr FRA;DF,FW;19;4.0;2;183.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.1;0.1;5.0;10.0;17.0;0.0;Paris SG;0.0;0.0491803278688524;0.0491803278688524;0.0983606557377049;10.0;0;Aucun;;;;;;;
Axel Tapé;fr FRA;DF,MF;17;2.0;2;180.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.1;1.0;5.0;1.0;0.0;Paris SG;0.0;0.0;0.0;0.0;9.0;0;Aucun;;;;;;;
Arnau Tenas;es ESP;GK;23;1.0;1;90.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;1.0;0.0;1.0;Paris SG;0.0;0.0;0.2;0.2;10.0;0;Aucun;;;;;;;
Noham Kamara;fr FRA;DF;18;2.0;0;76.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;5.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Presnel Kimpembe;fr FRA;DF;29;2.0;0;23.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Naoufel El Hannach;ma MAR;DF;18;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Louis Mouquet;pt POR;GK;20;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Quentin Ndjantou Mbitcha;fr FRA;FW;17;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Wassim Slama;fr FRA;MF;16;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Carlos Soler;es ESP;MF;28;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Paris SG;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Joshua Kimmich;de GER;MF;30;0.0;32;2847.0;31.6;3.0;7.0;10.0;3.0;0.0;0.0;4.0;0.0;1.8;1.8;7.4;9.2;51.0;362.0;77.0;0.32;Bayern Munich;0.0948366701791359;0.0569020021074815;0.2339304531085353;0.2908324552160169;6.0;0;Aucun;;;;;;;
Harry Kane;eng ENG;FW;31;0.0;28;2381.0;26.5;26.0;9.0;35.0;17.0;9.0;9.0;5.0;0.0;20.3;13.3;5.3;18.6;29.0;97.0;143.0;0.98;Bayern Munich;0.982780344393112;0.7673246535069299;0.2003359932801343;0.9676606467870644;5.0;0;Aucun;0.1;Bundesliga 2024/2025;8.6;6.0;9.0;0.0;4.5
Michael Olise;fr FRA;FW,MF;23;0.0;28;2334.0;25.9;12.0;15.0;27.0;12.0;0.0;0.0;3.0;0.0;9.7;9.7;12.0;21.7;119.0;184.0;381.0;1.04;Bayern Munich;0.4627249357326478;0.3740359897172236;0.4627249357326478;0.8367609254498715;7.0;0;Aucun;;;;;;;
Kim Min-jae;kr KOR;DF;28;0.0;27;2283.0;25.4;2.0;0.0;2.0;2.0;0.0;0.0;2.0;0.0;1.6;1.6;0.3;1.9;16.0;181.0;5.0;0.08;Bayern Munich;0.0788436268068331;0.0630749014454665;0.0118265440210249;0.0749014454664914;8.0;0;Aucun;;;;;;;
Manuel Neuer;de GER;GK;39;0.0;22;1980.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;10.0;0.0;0.0;Bayern Munich;0.0;0.0;0.0227272727272727;0.0227272727272727;10.0;0;Aucun;;;;;;;
Jamal Musiala;de GER;MF;22;0.0;21;1798.0;20.0;12.0;2.0;14.0;12.0;0.0;0.0;3.0;0.0;9.3;9.3;4.5;13.8;71.0;107.0;156.0;0.7;Bayern Munich;0.6006674082313682;0.4655172413793104;0.225250278086763;0.6907675194660734;7.0;0;Aucun;;;;;;;
Dayot Upamecano;fr FRA;DF;26;0.0;20;1759.0;19.5;2.0;0.0;2.0;2.0;0.0;0.0;6.0;0.0;1.2;1.2;0.5;1.7;17.0;137.0;4.0;0.1;Bayern Munich;0.1023308698123934;0.061398521887436;0.0255827174530983;0.0869812393405344;4.0;0;Aucun;;;;;;;
Konrad Laimer;at AUT;DF;27;0.0;19;1699.0;18.9;2.0;2.0;4.0;2.0;0.0;0.0;8.0;0.0;2.1;2.1;2.7;4.8;87.0;141.0;113.0;0.21;Bayern Munich;0.1059446733372572;0.11124190700412;0.1430253090052972;0.2542672160094174;2.0;0;Aucun;;;;;;;
Raphaël Guerreiro;pt POR;DF,MF;31;0.0;19;1572.0;17.5;4.0;4.0;8.0;4.0;0.0;0.0;2.0;0.0;2.9;2.9;2.9;5.8;39.0;85.0;126.0;0.46;Bayern Munich;0.2290076335877862;0.166030534351145;0.166030534351145;0.3320610687022901;8.0;0;Aucun;;;;;;;
Aleksandar Pavlovic;de GER;MF;21;0.0;18;1451.0;16.1;1.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;0.6;0.6;0.2;0.8;15.0;128.0;33.0;0.06;Bayern Munich;0.062026188835286;0.0372157133011716;0.0124052377670572;0.0496209510682288;8.0;0;Aucun;;;;;;;
